Length of Requisito,Nomic Topic: broad,Requisito,ID,row_number
38,Decision Making,servicio al cliente eficiente y amable,388ae7e7a670a5c7f21c7a126925dd23,2382
19,Contabilidad,cómputos métricos,0832a88c47109e1a16c2315e1bf8e8e7,2668
7,Software Skills,startup,98e171952b0eefad2dd2ba9e3a65ab72,42
15,Gestión de Inventario,Manejo de Excel,1352e4ef2e32e74a0022a4a9ee6010d6,249
12,Gestión de Cambio,proactividad,2b76d277c5a43e765bcaad5f816b215a,3037
66,Contabilidad,Normativas de seguridad industrial y manejo adecuado de materiales,157109925c3856f376aa33f005be8f33,3996
21,Decision Making,Atento a los detalles,023663246ed9fa7d1c548c0472afb7b0,4283
23,Contabilidad,registro de proveedores,deda5902079076cf0907d081640fdb7a,3698
50,Administración,Gestión de redes sociales y plataformas digitales,378dc53fd216d7e536d4e5e234e14612,4328
65,Finanzas,Políticas gubernamentales que incidan sobre el sector financiero,a02982a4975198566f6b97503538360b,2768
41,Gestión de Inventario,Conocimientos básicos del idioma inglés,dd45d09981723e16e9087c8210b7bf38,3105
9,Software Skills,marketing,9d6c77a00e6d2af3ea119aba8e58ea18,1479
32,Decision Making,Análisis de pagos a proveedores,4db8c51854a8ce7530333eb513894a7f,857
5,Software Skills,excel,ce50cd0d302cc2663fbfa8f73a28c3c3,3332
10,Contabilidad,Honestidad,e7f7d3989ea0efc710b815cdcc65283f,4159
24,Gestión de Inventario,inglés (mínimo de 75%),c7364b9f76cd5576ed0bac005e750008,90
7,Software Skills,AutoCAD,cf387b7c4ae075b7811962ace3fc2c7a,2025
22,Contabilidad,Manejar Sistema Profit,dea9e5d64dbd3de9b190b3fdc3582214,2124
84,Contabilidad,Conocimiento de normativas y procedimientos relacionados con la industria financiera,1929e2d4b017fd378f84815680eeea17,3308
15,Office Administration,Administración,73129da0695eefdd04133183d1f80e1d,1056
71,Contabilidad,diseño y gestión de planes de crédito y manejo de cuentas por cobrar,a3af73fb208455ba8d745b9cf4c39f3f,1102
50,Gestión de Cambio,"adaptación a nuevos proyectos, equipos y entornos",9d6c77a00e6d2af3ea119aba8e58ea18,1572
16,Gestión de Inventario,Manejo de Nomina,696ffb341567c4cc3c3f862d2689ee47,2502
30,Gestión de Inventario,Gestión de equipos de trabajo,a02982a4975198566f6b97503538360b,2777
27,Decision Making,Orientación hacia el logro,6eecf1e16667a29a33a86b6327e72e3c,2280
49,Decision Making,Orientación a resultados y visión a largo plazo,278bf95ee0a238727a80c3ddef721d04,431
31,Decision Making,El idioma de la misión y local,4064770554ddd1e601d13b086f54f0a3,3482
18,Decision Making,Análisis Contable,6eecf1e16667a29a33a86b6327e72e3c,2317
51,Office Administration,manejo de programas en paquetes integrados (Office),df0faf2a0d0cd531c12be3d1fa72fbfa,2934
18,Gestión de Inventario,manejo de personal,a431adb6db405ab16138fefbdd980a82,2528
16,Contabilidad,ventas técnicas,0832a88c47109e1a16c2315e1bf8e8e7,2632
20,Contabilidad,visión estratégica,9d6c77a00e6d2af3ea119aba8e58ea18,1466
16,Software Skills,Microsoft Office,cf387b7c4ae075b7811962ace3fc2c7a,1763
5,Software Skills,Excel,6b8210bf59677444b47677e2f04e8f59,2455
11,Gestión de Cambio,Profit Plus,7c6de15bf2c23ed614c095be9bc39497,3258
47,Contabilidad,Comunicación telefónica y correo electrónico,b57b8b7d4d265dc3a5bdace3321a84e3,3003
37,Contabilidad,estudios de mercado del sector retail,ce50cd0d302cc2663fbfa8f73a28c3c3,3338
38,Contabilidad,"Diseño atractivo, moderno y llamativo",8e00ccc48bf2892cfd831deafab30a32,347
15,Administración,liderar equipos,8933f03229ae687178b79f26828e8149,59
30,Decision Making,Poseer muy buena vista y oído,3316582af800029fd631788b375ae52c,1604
21,Decision Making,Orientación al logro,bd9a51caa939827b01593e92501e886b,601
29,Gestión de Inventario,Manejo de agenda de reuniones,be6c4ff6bae03c5a0d008198cd2d3501,791
58,Gestión de Inventario,manejo de reservaciones hoteleras nacional e internacional,be6c4ff6bae03c5a0d008198cd2d3501,819
20,Decision Making,Atención al cliente,a02982a4975198566f6b97503538360b,2810
34,Decision Making,Contador Publico o carreras afines,83d368ebad67d01e1144ab712988efc3,658
17,Software Skills,Microsoft Outlook,cf387b7c4ae075b7811962ace3fc2c7a,2055
44,Administración,programación en marketing en redes sociales,c7364b9f76cd5576ed0bac005e750008,92
11,Contabilidad,creatividad,9d6c77a00e6d2af3ea119aba8e58ea18,1502
48,Decision Making,análisis e interpretación de datos financieros,deda5902079076cf0907d081640fdb7a,3707
24,Decision Making,orientación al servicio,36cb7a04690f649a43ceda002886d6a8,1253
35,Finanzas,herramientas de gestión financiera,deda5902079076cf0907d081640fdb7a,3762
80,Contabilidad,Ser minucioso y con capacidad para seguir instrucciones muy técnicas y precisas,87776ec85e94762a91d9311a9ebc57b7,1682
222,Contabilidad,"Amplio conocimiento de los diferentes procesos administrativos: facturación, cobranza, compras, ventas, cuentas por pagar y cobrar, inventario, proveedores, conciliaciones bancarias, libro mayor y diario, mayor analítico",023663246ed9fa7d1c548c0472afb7b0,4236
42,Decision Making,Buena Comunicación y Relaciones Públicas,8e02a95b8f3b64c7f5d6962a232cbfad,709
87,Decision Making,Analizar y evaluar el impacto de los ajustes por inflación en los estados financieros.,83d368ebad67d01e1144ab712988efc3,649
23,Gestión de Inventario,Gestión de inventarios,73129da0695eefdd04133183d1f80e1d,944
16,Contabilidad,optimizar costos,aff68fd1d996a2cba96457f8c6072dc5,202
12,Decision Making,negociación,c87e36c629ca3d7f3ab9c857a5ed7538,2340
16,Software Skills,Google Analytics,3d072bf2bc7706c2401b5bdc12ac3b3e,215
3,Software Skills,CSS,cf387b7c4ae075b7811962ace3fc2c7a,1723
33,Decision Making,software de estimación de costos,c87e36c629ca3d7f3ab9c857a5ed7538,2337
13,Office Administration,organización,2b76d277c5a43e765bcaad5f816b215a,3053
23,Gestión de Inventario,Indicadores de gestión,7867fc6b6f604ca3548b15501a7b753e,1180
21,Decision Making,Orientación al logro,bd9a51caa939827b01593e92501e886b,633
15,Software Skills,Microsoft Excel,cf387b7c4ae075b7811962ace3fc2c7a,2029
24,Contabilidad,seguimiento de objetivos,0832a88c47109e1a16c2315e1bf8e8e7,2651
16,Contabilidad,recursos humanos,2fcc1eb0152faf001feea2e2b57132a3,186
35,Finanzas,herramientas de gestión financiera,deda5902079076cf0907d081640fdb7a,3872
13,Office Administration,Organización,cf387b7c4ae075b7811962ace3fc2c7a,1944
7,Gestión de Inventario,inglés,4064770554ddd1e601d13b086f54f0a3,3476
20,Decision Making,atención al detalle,9e5029dc85d5fa8ce1add8c9be3433e7,4117
11,Contabilidad,Creatividad,9e5029dc85d5fa8ce1add8c9be3433e7,4107
42,Decision Making,Negociación con instituciones financieras,b57b8b7d4d265dc3a5bdace3321a84e3,2967
30,Gestión de Inventario,Manejo y Control de inventario,73129da0695eefdd04133183d1f80e1d,919
10,Office Administration,organizada,6c92b1df30fe108dad5b03f26a50480c,1402
38,Gestión de Inventario,Dominio de Inglés intermedio/avanzado,be6c4ff6bae03c5a0d008198cd2d3501,848
33,Decision Making,Aceptación de errores y fracasos,bd9a51caa939827b01593e92501e886b,483
22,Contabilidad,Comunicación asertiva,a02982a4975198566f6b97503538360b,2787
24,Contabilidad,Conciliaciones Bancarias,6eecf1e16667a29a33a86b6327e72e3c,2167
35,Contabilidad,Conocimientos contable y financiero,7867fc6b6f604ca3548b15501a7b753e,1192
8,Software Skills,MS Excel,4064770554ddd1e601d13b086f54f0a3,3462
20,Contabilidad,Contabilidad general,6124e3fe696f8a3d50ea1f1c4d1ffcde,3534
88,Finanzas,Proporcionar información financiera relevante para la toma de decisiones estratégicas.,83d368ebad67d01e1144ab712988efc3,685
32,Contabilidad,Implementar estrategia de ventas,73129da0695eefdd04133183d1f80e1d,949
56,Contabilidad,"actualización de portafolio de productos, sector retail",0fd05061a1534eafeffd8c793cf7ad1a,3354
55,Contabilidad,Habilidades en el uso de equipos y medidas de seguridad,87776ec85e94762a91d9311a9ebc57b7,1661
126,Contabilidad,Preparar informes detallados sobre los ajustes por inflación para la gerencia y otros usuarios de la información financiera.,83d368ebad67d01e1144ab712988efc3,667
12,Decision Making,Negociación,a02982a4975198566f6b97503538360b,2747
20,Contabilidad,Comunicador efectivo,2ac6eff23b66ca70c84fe7bc0fe5c145,3605
30,Contabilidad,Overnight de activos y pasivos,b57b8b7d4d265dc3a5bdace3321a84e3,2954
24,Decision Making,redacción de artículos,8e7c21ae8251a9172cd98ebe2839bbe7,323
76,Gestión de Inventario,Manejo avanzado de herramientas de diseño como Adobe Suite (o equivalentes),9e5029dc85d5fa8ce1add8c9be3433e7,4092
41,Gestión de Inventario,Conocimientos básicos del idioma inglés,dd45d09981723e16e9087c8210b7bf38,3129
14,Software Skills,Microsoft Word,cf387b7c4ae075b7811962ace3fc2c7a,1853
19,Contabilidad,princípios da Mugo,6cc39f36dca64dcd25d352d68b01c367,412
3,Software Skills,CSS,cf387b7c4ae075b7811962ace3fc2c7a,2011
21,Gestión de Inventario,gestión de proyectos,6084e9558635dae23b07b5694a4408f5,127
59,Contabilidad,"Capacidad para leer e interpretar dibujos, bocetos y planos",87776ec85e94762a91d9311a9ebc57b7,1675
49,Administración,Realizar seguimiento a las solicitudes realizadas,73129da0695eefdd04133183d1f80e1d,1073
22,Contabilidad,Sistema Galac Software,8e02a95b8f3b64c7f5d6962a232cbfad,704
21,Gestión de Cambio,Adaptación al cambio,bd9a51caa939827b01593e92501e886b,543
27,Contabilidad,Planificación estratégica,278bf95ee0a238727a80c3ddef721d04,463
21,Gestión de Cambio,Adaptación al cambio,cf387b7c4ae075b7811962ace3fc2c7a,1720
36,Gestión de Inventario,Manejo de herramientas informáticas,2ac6eff23b66ca70c84fe7bc0fe5c145,3667
85,Contabilidad,Habilidad para realizar inspecciones básicas de mantenimiento preventivo en camiones,79b02f0ab795c21928b25c1e055d6fb6,3920
84,Gestión de Inventario,"Manejo de herramientas de marketing digital (Google Ads, Meta Ads, SEO, entre otros)",378dc53fd216d7e536d4e5e234e14612,4308
23,Decision Making,iniciativa y autonomía,9d6c77a00e6d2af3ea119aba8e58ea18,1440
49,Office Administration,Manejo intermedio o avanzado de paquete de Office,b69fad10068620d38fe2f22100427793,3217
22,Gestión de Inventario,Mejora del rendimiento,cf387b7c4ae075b7811962ace3fc2c7a,1930
8,Gestión de Inventario,Gestión,cf387b7c4ae075b7811962ace3fc2c7a,1828
33,Gestión de Inventario,Manejo de carteras de inversiones,b57b8b7d4d265dc3a5bdace3321a84e3,2947
34,Contabilidad,elaboración de mapas conceptuales,8e7c21ae8251a9172cd98ebe2839bbe7,327
9,Decision Making,Análisis,cf387b7c4ae075b7811962ace3fc2c7a,1728
28,Gestión de Inventario,Mantener el Visual de tienda,73129da0695eefdd04133183d1f80e1d,945
29,Contabilidad,Digitalización de documentos,cf387b7c4ae075b7811962ace3fc2c7a,2080
58,Gestión de Inventario,manejo de reservaciones hoteleras nacional e internacional,be6c4ff6bae03c5a0d008198cd2d3501,817
73,Office Administration,sistemas de gestión de contenidos como el paquete MS Office Professional,9d6c77a00e6d2af3ea119aba8e58ea18,1581
82,Decision Making,Alta competencia en la gestión de riesgos financieros y la solución de problemas,50a50a774cfa7759cbc7024e4850812e,2879
58,Gestión de Inventario,"Manejo de Excel: tablas dinámicas, reportes estadísticos",dd45d09981723e16e9087c8210b7bf38,3133
28,Decision Making,Examinar estados financieros,7867fc6b6f604ca3548b15501a7b753e,1181
33,Gestión de Inventario,Manejo de carteras de inversiones,b57b8b7d4d265dc3a5bdace3321a84e3,2945
47,Contabilidad,Conocimientos de edición de video y animación,9e5029dc85d5fa8ce1add8c9be3433e7,4144
50,Contabilidad,Conciliación de recepción y depósito de divisas,73129da0695eefdd04133183d1f80e1d,1013
47,Finanzas,Productos financieros y tecnológicos del banco,a02982a4975198566f6b97503538360b,2796
55,Decision Making,Alta capacidad analítica y de resolución de problemas,278bf95ee0a238727a80c3ddef721d04,419
96,Decision Making,Analizar los estados financieros ajustados por inflación para identificar tendencias y riesgos.,83d368ebad67d01e1144ab712988efc3,681
18,Contabilidad,Registros Contable,6eecf1e16667a29a33a86b6327e72e3c,2279
67,Software Skills,"QuickBooks Online, Bill.com, OnPay, or other financial applications",c3035632ecd704cde86c785f211725fb,3684
9,Gestión de Cambio,presencia,9e5029dc85d5fa8ce1add8c9be3433e7,4093
45,Finanzas,gestionar información financiera empresarial,7867fc6b6f604ca3548b15501a7b753e,1141
23,Gestión de Inventario,Indicadores de gestión,7867fc6b6f604ca3548b15501a7b753e,1150
23,Contabilidad,conocimientos contables,deda5902079076cf0907d081640fdb7a,3912
21,Decision Making,Orientación al logro,bd9a51caa939827b01593e92501e886b,599
41,Gestión de Cambio,Estilo de diseño minimalista y adaptable,9e5029dc85d5fa8ce1add8c9be3433e7,4106
14,Gestión de Inventario,Excel avanzado,7867fc6b6f604ca3548b15501a7b753e,1198
18,Gestión de Inventario,excelente dicción,36cb7a04690f649a43ceda002886d6a8,1279
27,Contabilidad,Comunicación y persuasión,cf387b7c4ae075b7811962ace3fc2c7a,1794
19,Contabilidad,Motivar el personal,73129da0695eefdd04133183d1f80e1d,901
21,Decision Making,Desarrollo de negocio,278bf95ee0a238727a80c3ddef721d04,441
30,Decision Making,Buena redacción y ortografía,0f830f4c424187fab4c2d39988269cc6,2889
15,Gestión de Inventario,manejo de Excel,36cb7a04690f649a43ceda002886d6a8,1298
49,Contabilidad,Elaboración de cierres contables mensual y anual,7c6de15bf2c23ed614c095be9bc39497,3263
20,Contabilidad,visión estratégica,9d6c77a00e6d2af3ea119aba8e58ea18,1464
33,Decision Making,Aceptación de errores y fracasos,bd9a51caa939827b01593e92501e886b,499
21,Decision Making,Orientación al logro,bd9a51caa939827b01593e92501e886b,621
25,Decision Making,análisis de facturación,deda5902079076cf0907d081640fdb7a,3722
36,Gestión de Cambio,Profit Plus de avanzado a intermedio,c0f99d90c443c10f64fae025b854f5e3,3288
14,Software Skills,Microsoft Word,cf387b7c4ae075b7811962ace3fc2c7a,1805
21,Gestión de Inventario,trabajo bajo presión,6c92b1df30fe108dad5b03f26a50480c,1416
48,Contabilidad,Conocimientos en Profit Administrativo /contable,6eecf1e16667a29a33a86b6327e72e3c,2271
12,Decision Making,Negociación,a02982a4975198566f6b97503538360b,2741
59,Contabilidad,Leyes y disposiciones que regulan las operaciones bancarias,b57b8b7d4d265dc3a5bdace3321a84e3,2964
51,Office Administration,manejo de programas en paquetes integrados (Office),df0faf2a0d0cd531c12be3d1fa72fbfa,2910
40,Gestión de Inventario,Discreción en el manejo de información,6eecf1e16667a29a33a86b6327e72e3c,2328
29,Contabilidad,Manejo de sistema Profit Plus,f376b1aa63305936c71bdf35dffcc791,3093
11,Gestión de Cambio,Responsable,6c92b1df30fe108dad5b03f26a50480c,1378
12,Contabilidad,Contabilidad,36cb7a04690f649a43ceda002886d6a8,1270
62,Gestión de Inventario,"herramientas financieras y software ERP (ej.: SAP, QuickBooks)",a3af73fb208455ba8d745b9cf4c39f3f,1104
17,Contabilidad,KPI estratégicos,2b76d277c5a43e765bcaad5f816b215a,3068
20,Decision Making,capacidad analítica,9d6c77a00e6d2af3ea119aba8e58ea18,1484
27,Office Administration,Administración de archivos,bd9a51caa939827b01593e92501e886b,504
17,Gestión de Inventario,Trabajo en equipo,6124e3fe696f8a3d50ea1f1c4d1ffcde,3529
35,Decision Making,evaluación diagnóstica financiera,2b76d277c5a43e765bcaad5f816b215a,3048
22,Contabilidad,Sistema Galac Software,8e02a95b8f3b64c7f5d6962a232cbfad,740
34,Decision Making,redacción de trabajos académicos,f5f8aab03143e759eb6f3581c331052b,110
52,Contabilidad,Gran capacidad de organización y gestión de tiempo,deda5902079076cf0907d081640fdb7a,3903
55,Contabilidad,Habilidades en el uso de equipos y medidas de seguridad,87776ec85e94762a91d9311a9ebc57b7,1679
9,Administración,Liderazgo,a02982a4975198566f6b97503538360b,2717
24,Gestión de Inventario,Manejo de libros legales,7c6de15bf2c23ed614c095be9bc39497,3261
24,Contabilidad,Conciliaciones Bancarias,696ffb341567c4cc3c3f862d2689ee47,2514
16,Contabilidad,Cierres Contable,6eecf1e16667a29a33a86b6327e72e3c,2259
30,Gestión de Inventario,Gestión de equipos de trabajo,a02982a4975198566f6b97503538360b,2773
21,Gestión de Cambio,Adaptación al cambio,cf387b7c4ae075b7811962ace3fc2c7a,1718
20,Contabilidad,Dirección de ventas,73129da0695eefdd04133183d1f80e1d,962
19,Gestión de Inventario,Gestión del Tiempo,cf387b7c4ae075b7811962ace3fc2c7a,1888
16,Software Skills,Microsoft Office,11cb391a58314f6d43b383020bbde9f8,2396
41,Gestión de Inventario,herramientas de marketing y comunicación,9d6c77a00e6d2af3ea119aba8e58ea18,1541
41,Contabilidad,Conocimiento libro de compras y de ventas,deb4d884f7dd6d51b87c26f3f81829d4,2590
17,Software Skills,Microsoft Outlook,cf387b7c4ae075b7811962ace3fc2c7a,1719
24,Office Administration,Manejo de paquete office,8933f03229ae687178b79f26828e8149,50
53,Contabilidad,Asesoramiento en materia de planificación financiera,7867fc6b6f604ca3548b15501a7b753e,1197
23,Decision Making,Orientado(a) al cliente,2b794a15e37724318800d4a5094a1618,3242
40,Office Administration,"Manejo paquete Office: Excel, intermedio",ac7c38fb581d1d453352678bfe7f5b8e,3421
20,Decision Making,atención al detalle,53be96b3df4c517c4e5b9787234c9d7c,83
55,Decision Making,Alta capacidad analítica y de resolución de problemas,278bf95ee0a238727a80c3ddef721d04,417
36,Contabilidad,Mantenimiento de registros contables,4db8c51854a8ce7530333eb513894a7f,875
32,Contabilidad,Sólidos conocimientos contables,1929e2d4b017fd378f84815680eeea17,3304
73,Contabilidad,"normativas contables y fiscales internacionales, especialmente en EE. UU.",a3af73fb208455ba8d745b9cf4c39f3f,1108
27,Contabilidad,Elaborar reportes de ventas,73129da0695eefdd04133183d1f80e1d,1037
98,Contabilidad,"procesos de gestión de ventas en clientes multicanal (supermercados, distribuidores y mayoristas)",de5bf83641910c6e8170f61d048859fd,3393
32,Contabilidad,Sólidos conocimientos contables,1929e2d4b017fd378f84815680eeea17,3298
11,Contabilidad,modulación,36cb7a04690f649a43ceda002886d6a8,1291
58,Contabilidad,Comunicación efectiva y capacidad para trabajar en equipo,157109925c3856f376aa33f005be8f33,4007
18,Contabilidad,Registros Contable,6eecf1e16667a29a33a86b6327e72e3c,2235
21,Decision Making,negociación de deuda,d97e814c48bc284eadc7d00c60e124ac,379
5,Software Skills,Excel,2b76d277c5a43e765bcaad5f816b215a,3072
23,Contabilidad,conocimientos contables,deda5902079076cf0907d081640fdb7a,3890
9,Gestión de Cambio,presencia,9e5029dc85d5fa8ce1add8c9be3433e7,4091
25,Gestión de Inventario,Gestión de las emociones,cf387b7c4ae075b7811962ace3fc2c7a,1858
57,Decision Making,Amplio sentido de Negociación y trato hacia los Clientes,8e02a95b8f3b64c7f5d6962a232cbfad,723
16,Contabilidad,cámara de fotos,e50d9926d886779d7295475d8f103791,332
20,Contabilidad,visión estratégica,9d6c77a00e6d2af3ea119aba8e58ea18,1460
18,Gestión de Inventario,manejo de personal,a431adb6db405ab16138fefbdd980a82,2532
22,Software Skills,Microsoft Office Suite,c87e36c629ca3d7f3ab9c857a5ed7538,2359
9,Administración,Liderazgo,901755ff3d29f32bdd02487174057d72,1357
25,Finanzas,conocimientos financieros,deda5902079076cf0907d081640fdb7a,3822
47,Contabilidad,Comunicación telefónica y correo electrónico,b57b8b7d4d265dc3a5bdace3321a84e3,3005
10,Office Administration,organizada,6c92b1df30fe108dad5b03f26a50480c,1390
9,Gestión de Cambio,presencia,36cb7a04690f649a43ceda002886d6a8,1307
23,Gestión de Inventario,Gestión de inventarios,73129da0695eefdd04133183d1f80e1d,1016
6,Software Skills,Retail,73129da0695eefdd04133183d1f80e1d,966
43,Contabilidad,Realizar informes de gestión e Indicadores,73129da0695eefdd04133183d1f80e1d,1053
17,Contabilidad,Proceso de mejora,cf387b7c4ae075b7811962ace3fc2c7a,1990
17,Gestión de Inventario,trabajo en equipo,9d6c77a00e6d2af3ea119aba8e58ea18,1526
14,Software Skills,Microsoft Word,cf387b7c4ae075b7811962ace3fc2c7a,1901
15,Gestión de Cambio,Responsabilidad,6eecf1e16667a29a33a86b6327e72e3c,2166
98,Contabilidad,"procesos de gestión de ventas en clientes multicanal (supermercados, distribuidores y mayoristas)",de5bf83641910c6e8170f61d048859fd,3377
48,Contabilidad,Conocimientos en Profit Administrativo /contable,6eecf1e16667a29a33a86b6327e72e3c,2293
151,Contabilidad,"Uso de útiles propios del puesto de trabajo (carros y ruedas para la reposición del producto empaquetado, cuchillos, cortadora, envasadora de vacío)",bf95493af64a5e86b2ebd3860a559987,1635
30,Decision Making,investigación de licitaciones,0832a88c47109e1a16c2315e1bf8e8e7,2657
15,Contabilidad,Impartir cursos,93ccc406232dae9c30a8844663f8e263,2413
52,Contabilidad,Gran capacidad de organización y gestión de tiempo,deda5902079076cf0907d081640fdb7a,3893
57,Contabilidad,Habilidades de liderazgo para motivar y gestionar equipos,a3af73fb208455ba8d745b9cf4c39f3f,1107
55,Contabilidad,Habilidades en el uso de equipos y medidas de seguridad,3316582af800029fd631788b375ae52c,1597
26,Office Administration,Dominio de paquetes Office,deda5902079076cf0907d081640fdb7a,3886
58,Contabilidad,contacto directo con clientes e intermediarios potenciales,7d1d4a9dfd4bf45098f6deb34a3a55eb,3158
43,Contabilidad,Preparación de artes finales para imprenta,9e5029dc85d5fa8ce1add8c9be3433e7,4050
31,Decision Making,Emisión de Estados Financieros,6eecf1e16667a29a33a86b6327e72e3c,2239
18,Gestión de Inventario,excelente dicción,36cb7a04690f649a43ceda002886d6a8,1281
9,Decision Making,cobertura,f812059319dcaf3a9b9718b517731a5f,3410
36,Gestión de Inventario,Manejo de herramientas informáticas,6124e3fe696f8a3d50ea1f1c4d1ffcde,3575
51,Contabilidad,Excelente capacidad de comunicación oral y escrita,deda5902079076cf0907d081640fdb7a,3881
58,Gestión de Inventario,manejo de reservaciones hoteleras nacional e internacional,be6c4ff6bae03c5a0d008198cd2d3501,811
39,Contabilidad,"Generar solvencias en INCES, IVSS, FAOV",6c92b1df30fe108dad5b03f26a50480c,1381
15,Software Skills,Microsoft Excel,bd9a51caa939827b01593e92501e886b,536
95,Decision Making,"Elaboración de fichas académicas (de empresas, de negocios, de estudios del caso empresarial)",98e171952b0eefad2dd2ba9e3a65ab72,39
98,Contabilidad,"procesos de gestión de ventas en clientes multicanal (supermercados, distribuidores y mayoristas)",de5bf83641910c6e8170f61d048859fd,3401
51,Contabilidad,Excelente capacidad de comunicación oral y escrita,deda5902079076cf0907d081640fdb7a,3877
3,Software Skills,CSS,cf387b7c4ae075b7811962ace3fc2c7a,1855
22,Contabilidad,comunicación efectiva,6b8210bf59677444b47677e2f04e8f59,2450
7,Software Skills,AutoCAD,cf387b7c4ae075b7811962ace3fc2c7a,1821
19,Gestión de Inventario,Excelente presencia,023663246ed9fa7d1c548c0472afb7b0,4215
15,Gestión de Cambio,Responsabilidad,6eecf1e16667a29a33a86b6327e72e3c,2176
58,Contabilidad,"operaciones y logística: facturación, pedidos y despacho",de5bf83641910c6e8170f61d048859fd,3395
37,Contabilidad,Buen léxico y fluidez para comunicar,023663246ed9fa7d1c548c0472afb7b0,4249
42,Decision Making,Sentido de oportunidad y urgencia de pagos,4db8c51854a8ce7530333eb513894a7f,865
29,Gestión de Inventario,Manejo de agenda de reuniones,be6c4ff6bae03c5a0d008198cd2d3501,793
13,Contabilidad,comunicación,2b76d277c5a43e765bcaad5f816b215a,3057
25,Decision Making,Resolución de conflictos,cf387b7c4ae075b7811962ace3fc2c7a,2000
19,Gestión de Inventario,Dominio del Inglés,87456052857aea48b0a9dae7d23a9986,142
9,Administración,Liderazgo,cf387b7c4ae075b7811962ace3fc2c7a,1918
12,Gestión de Cambio,Flexibilidad,4064770554ddd1e601d13b086f54f0a3,3461
17,Gestión de Inventario,Trabajo en equipo,6eecf1e16667a29a33a86b6327e72e3c,2248
26,Contabilidad,preparación de propuestas,0832a88c47109e1a16c2315e1bf8e8e7,2663
22,Contabilidad,estrategia empresarial,98e171952b0eefad2dd2ba9e3a65ab72,40
41,Gestión de Inventario,Conocimientos básicos del idioma inglés,dd45d09981723e16e9087c8210b7bf38,3097
17,Software Skills,Microsoft Outlook,cf387b7c4ae075b7811962ace3fc2c7a,1983
21,Contabilidad,escribir textos leves,a610bebc2464c8542bc50458378e98ba,357
67,Contabilidad,Dominio de pagos fiscales y parafiscales para agentes de retención,023663246ed9fa7d1c548c0472afb7b0,4178
